,Actual Load
2024-06-06 16:30:00+02:00,54953.0
2024-06-06 16:45:00+02:00,54999.0
2024-06-06 17:00:00+02:00,55287.0
2024-06-06 17:15:00+02:00,54926.0
2024-06-06 17:30:00+02:00,55091.0
2024-06-06 17:45:00+02:00,54899.0
2024-06-06 18:00:00+02:00,55508.0
2024-06-06 18:15:00+02:00,55554.0
2024-06-06 18:30:00+02:00,55312.0
2024-06-06 18:45:00+02:00,55329.0
2024-06-06 19:00:00+02:00,55573.0
2024-06-06 19:15:00+02:00,55049.0
2024-06-06 19:30:00+02:00,54937.0
2024-06-06 19:45:00+02:00,54828.0
2024-06-06 20:00:00+02:00,54543.0
2024-06-06 20:15:00+02:00,53885.0
2024-06-06 20:30:00+02:00,53407.0
2024-06-06 20:45:00+02:00,52621.0
2024-06-06 21:00:00+02:00,51938.0
2024-06-06 21:15:00+02:00,51431.0
2024-06-06 21:30:00+02:00,51347.0
2024-06-06 21:45:00+02:00,50888.0
2024-06-06 22:00:00+02:00,50406.0
2024-06-06 22:15:00+02:00,49808.0
2024-06-06 22:30:00+02:00,48883.0
2024-06-06 22:45:00+02:00,47852.0
2024-06-06 23:00:00+02:00,46861.0
2024-06-06 23:15:00+02:00,46030.0
2024-06-06 23:30:00+02:00,45109.0
2024-06-06 23:45:00+02:00,44745.0
